graphNo, Vertex-Num, radius, diameter, entropy
43166, 17, 5, 10, 4.0529
43167, 17, 4, 7, 4.05729
43168, 17, 4, 8, 4.05426
43169, 17, 4, 8, 4.05575
43170, 17, 4, 8, 4.05503
43171, 17, 4, 8, 4.053
43172, 17, 4, 8, 4.06088
43173, 17, 5, 10, 4.0533
43174, 17, 5, 9, 4.05434
43175, 17, 4, 8, 4.05616
43176, 17, 6, 12, 4.0509
43177, 17, 6, 11, 4.05355
43178, 17, 6, 12, 4.05258
43179, 17, 6, 12, 4.05417
43180, 17, 5, 9, 4.05466
43181, 17, 4, 8, 4.05634
43182, 17, 5, 10, 4.05301
43183, 17, 5, 10, 4.05442
43184, 17, 4, 8, 4.05653
43185, 17, 4, 8, 4.05482
43186, 17, 6, 11, 4.05488
43187, 17, 7, 13, 4.05399
43188, 17, 5, 9, 4.05541
43189, 17, 5, 10, 4.05218
43190, 17, 6, 12, 4.057
43191, 17, 7, 13, 4.05603
43192, 17, 5, 10, 4.0541
43193, 17, 4, 8, 4.05542
43194, 17, 5, 9, 4.05457
43195, 17, 5, 9, 4.05252
43196, 17, 6, 11, 4.05604
43197, 17, 6, 12, 4.05361
43198, 17, 5, 10, 4.05961
43199, 17, 5, 9, 4.05401
43200, 17, 5, 9, 4.05796
43201, 17, 5, 10, 4.05622
43202, 17, 6, 11, 4.05492
43203, 17, 5, 9, 4.05519
43204, 17, 5, 9, 4.05231
43205, 17, 6, 11, 4.0525
43206, 17, 4, 8, 4.05592
43207, 17, 6, 12, 4.05707
43208, 17, 4, 8, 4.05626
43209, 17, 5, 9, 4.05328
43210, 17, 4, 7, 4.05783
43211, 17, 5, 9, 4.05682
43212, 17, 5, 10, 4.05254
43213, 17, 4, 8, 4.05763
43214, 17, 5, 9, 4.05282
43215, 17, 5, 9, 4.05765
43216, 17, 5, 10, 4.05533
43217, 17, 5, 10, 4.05366
43218, 17, 5, 10, 4.05838
43219, 17, 4, 8, 4.05539
43220, 17, 6, 11, 4.05529
43221, 17, 6, 12, 4.05218
43222, 17, 5, 9, 4.05529
43223, 17, 5, 10, 4.05224
43224, 17, 6, 11, 4.0605
43225, 17, 6, 12, 4.05761
43226, 17, 5, 9, 4.05702
43227, 17, 5, 10, 4.05373
43228, 17, 6, 11, 4.05094
43229, 17, 5, 9, 4.04809
43230, 17, 5, 9, 4.04774
43231, 17, 5, 10, 4.04902
43232, 17, 6, 12, 4.05438
43233, 17, 5, 10, 4.04656
43234, 17, 4, 8, 4.04943
43235, 17, 5, 9, 4.04782
43236, 17, 6, 11, 4.04847
43237, 17, 5, 9, 4.04751
43238, 17, 4, 7, 4.05097
43239, 17, 4, 8, 4.04911
43240, 17, 5, 10, 4.04915
43241, 17, 5, 10, 4.05142
43242, 17, 5, 9, 4.05617
43243, 17, 5, 9, 4.06307
43244, 17, 6, 11, 4.06192
43245, 17, 5, 9, 4.05165
43246, 17, 6, 11, 4.05226
43247, 17, 5, 9, 4.05196
43248, 17, 5, 9, 4.06024
43249, 17, 5, 10, 4.06379
43250, 17, 4, 8, 4.05691
43251, 17, 4, 8, 4.05453
43252, 17, 4, 7, 4.0594
43253, 17, 5, 9, 4.05878
43254, 17, 5, 9, 4.0562
43255, 17, 5, 9, 4.05465
43256, 17, 4, 7, 4.05524
43257, 17, 4, 7, 4.05623
43258, 17, 4, 8, 4.06049
43259, 17, 5, 9, 4.06292
43260, 17, 5, 9, 4.0529
43261, 17, 4, 8, 4.05906
43262, 17, 5, 9, 4.05368
43263, 17, 5, 10, 4.06084
43264, 17, 5, 10, 4.05335
43265, 17, 4, 8, 4.06215
43266, 17, 4, 8, 4.05469
43267, 17, 4, 8, 4.05277
43268, 17, 6, 11, 4.06306
43269, 17, 6, 11, 4.0527
43270, 17, 5, 10, 4.05962
43271, 17, 5, 10, 4.05317
43272, 17, 5, 10, 4.05018
43273, 17, 6, 12, 4.06183
43274, 17, 6, 12, 4.05367
43275, 17, 5, 10, 4.06215
43276, 17, 5, 10, 4.05631
43277, 17, 5, 10, 4.05102
43278, 17, 5, 9, 4.04816
43279, 17, 6, 11, 4.05133
43280, 17, 5, 9, 4.05501
43281, 17, 5, 10, 4.06138
43282, 17, 6, 12, 4.06283
43283, 17, 6, 11, 4.05156
43284, 17, 5, 10, 4.05154
43285, 17, 6, 12, 4.05323
43286, 17, 5, 9, 4.05135
43287, 17, 5, 9, 4.05858
43288, 17, 6, 11, 4.06285
43289, 17, 6, 11, 4.04892
43290, 17, 5, 9, 4.05155
43291, 17, 5, 10, 4.0501
43292, 17, 6, 12, 4.05059
43293, 17, 6, 11, 4.04953
43294, 17, 5, 9, 4.05182
43295, 17, 5, 10, 4.05052
43296, 17, 6, 12, 4.05122
43297, 17, 6, 12, 4.04909
43298, 17, 5, 10, 4.05091
43299, 17, 6, 11, 4.04981
43300, 17, 7, 13, 4.05094
43301, 17, 6, 12, 4.0603
43302, 17, 6, 12, 4.05264
43303, 17, 5, 10, 4.05613
43304, 17, 5, 10, 4.0513
43305, 17, 5, 10, 4.04983
43306, 17, 6, 12, 4.05295
43307, 17, 7, 13, 4.06092
43308, 17, 7, 13, 4.05451
43309, 17, 6, 11, 4.05859
43310, 17, 5, 10, 4.05347
43311, 17, 5, 10, 4.05007
43312, 17, 5, 10, 4.04918
43313, 17, 4, 8, 4.05221
43314, 17, 5, 9, 4.05057
43315, 17, 6, 11, 4.05074
43316, 17, 6, 11, 4.04864
43317, 17, 5, 9, 4.05102
43318, 17, 5, 10, 4.04966
43319, 17, 6, 12, 4.05043
43320, 17, 6, 11, 4.04837
43321, 17, 5, 9, 4.05046
43322, 17, 5, 10, 4.04923
43323, 17, 6, 12, 4.05027
43324, 17, 5, 10, 4.04867
43325, 17, 4, 8, 4.0519
43326, 17, 5, 9, 4.05017
43327, 17, 6, 11, 4.05022
43328, 17, 6, 11, 4.05735
43329, 17, 5, 9, 4.05354
43330, 17, 5, 9, 4.0507
43331, 17, 5, 10, 4.04997
43332, 17, 6, 12, 4.05342
43333, 17, 6, 12, 4.0594
43334, 17, 5, 10, 4.05541
43335, 17, 5, 9, 4.0519
43336, 17, 5, 9, 4.05007
43337, 17, 6, 11, 4.05027
43338, 17, 5, 10, 4.04879
43339, 17, 4, 8, 4.05158
43340, 17, 5, 9, 4.05004
43341, 17, 6, 11, 4.05049
43342, 17, 5, 9, 4.04896
43343, 17, 4, 7, 4.05246
43344, 17, 4, 8, 4.05061
43345, 17, 5, 10, 4.05043
43346, 17, 4, 8, 4.04806
43347, 17, 4, 7, 4.05145
43348, 17, 5, 9, 4.046
43349, 17, 4, 8, 4.04927
43350, 17, 4, 7, 4.05318
43351, 17, 5, 9, 4.04657
43352, 17, 4, 7, 4.05084
43353, 17, 3, 6, 4.05534
43354, 17, 4, 8, 4.04739
43355, 17, 4, 8, 4.05066
43356, 17, 5, 10, 4.05167
43357, 17, 5, 9, 4.05756
43358, 17, 6, 11, 4.06087
43359, 17, 5, 9, 4.05357
43360, 17, 6, 11, 4.05431
43361, 17, 4, 8, 4.05464
43362, 17, 5, 10, 4.05951
43363, 17, 5, 9, 4.0542
43364, 17, 4, 8, 4.06034
43365, 17, 5, 10, 4.0635
43366, 17, 4, 8, 4.05615
43367, 17, 5, 10, 4.05681
43368, 17, 4, 7, 4.05737
43369, 17, 5, 9, 4.06224
43370, 17, 5, 9, 4.05815
43371, 17, 5, 9, 4.05479
43372, 17, 5, 9, 4.05706
43373, 17, 5, 10, 4.05965
43374, 17, 5, 10, 4.05684
43375, 17, 4, 8, 4.05619
43376, 17, 4, 8, 4.05503
43377, 17, 4, 8, 4.06125
43378, 17, 4, 8, 4.05783
43379, 17, 4, 8, 4.06001
43380, 17, 5, 9, 4.06259
43381, 17, 5, 9, 4.05977
43382, 17, 4, 7, 4.05937
43383, 17, 4, 7, 4.05811
43384, 17, 6, 11, 4.05902
43385, 17, 6, 11, 4.04935
43386, 17, 5, 9, 4.05507
43387, 17, 5, 9, 4.0498
43388, 17, 6, 12, 4.0606
43389, 17, 6, 12, 4.05243
43390, 17, 5, 10, 4.05724
43391, 17, 4, 8, 4.05253
43392, 17, 5, 10, 4.06115
43393, 17, 5, 10, 4.05116
43394, 17, 4, 8, 4.05711
43395, 17, 4, 8, 4.05162
43396, 17, 6, 11, 4.06271
43397, 17, 6, 11, 4.05432
43398, 17, 5, 9, 4.05935
43399, 17, 4, 8, 4.05446
43400, 17, 4, 8, 4.05116
43401, 17, 5, 9, 4.05262
43402, 17, 5, 9, 4.05854
43403, 17, 6, 11, 4.06043
43404, 17, 5, 9, 4.05334
43405, 17, 6, 11, 4.05657
43406, 17, 4, 8, 4.05395
43407, 17, 5, 10, 4.05445
43408, 17, 4, 8, 4.05525
43409, 17, 5, 10, 4.06034
43410, 17, 5, 10, 4.0556
43411, 17, 5, 10, 4.05039
43412, 17, 5, 9, 4.05341
43413, 17, 6, 11, 4.04823
43414, 17, 5, 9, 4.05155
43415, 17, 4, 8, 4.05496
43416, 17, 5, 10, 4.04894
43417, 17, 6, 11, 4.05403
43418, 17, 5, 10, 4.05634
43419, 17, 6, 12, 4.0524
43420, 17, 6, 11, 4.05273
43421, 17, 5, 10, 4.05517
43422, 17, 6, 12, 4.05104
43423, 17, 5, 10, 4.05196
43424, 17, 5, 9, 4.05482
43425, 17, 6, 11, 4.04988
43426, 17, 5, 9, 4.05874
43427, 17, 4, 8, 4.05576
43428, 17, 5, 9, 4.05691
43429, 17, 4, 8, 4.05688
43430, 17, 5, 10, 4.05904
43431, 17, 6, 11, 4.06115
43432, 17, 5, 10, 4.05037
43433, 17, 5, 9, 4.05669
43434, 17, 5, 9, 4.05023
43435, 17, 5, 10, 4.0505
43436, 17, 6, 12, 4.05466
43437, 17, 6, 12, 4.06144
43438, 17, 6, 11, 4.05283
43439, 17, 5, 10, 4.05949
43440, 17, 5, 9, 4.05337
43441, 17, 6, 11, 4.05299
43442, 17, 4, 8, 4.05079
43443, 17, 5, 10, 4.0517
43444, 17, 5, 9, 4.05674
43445, 17, 6, 11, 4.06059
43446, 17, 5, 10, 4.05294
43447, 17, 5, 9, 4.05384
43448, 17, 6, 11, 4.05491
43449, 17, 4, 8, 4.05451
43450, 17, 5, 10, 4.05838
43451, 17, 4, 7, 4.05309
43452, 17, 5, 9, 4.05374
43453, 17, 4, 8, 4.05905
43454, 17, 5, 10, 4.06259
43455, 17, 5, 9, 4.05496
43456, 17, 4, 8, 4.05595
43457, 17, 5, 10, 4.05682
43458, 17, 4, 7, 4.05689
43459, 17, 5, 9, 4.06054
43460, 17, 5, 9, 4.04959
43461, 17, 5, 9, 4.05015
43462, 17, 4, 8, 4.0532
43463, 17, 5, 10, 4.04823
43464, 17, 5, 9, 4.05072
43465, 17, 4, 8, 4.05339
43466, 17, 5, 10, 4.04919
43467, 17, 5, 10, 4.05003
43468, 17, 5, 9, 4.05228
43469, 17, 6, 11, 4.04899
43470, 17, 5, 9, 4.05127
43471, 17, 4, 8, 4.05476
43472, 17, 5, 10, 4.04878
43473, 17, 5, 9, 4.0516
43474, 17, 4, 8, 4.05464
43475, 17, 5, 10, 4.04958
43476, 17, 5, 10, 4.05065
43477, 17, 5, 9, 4.05322
43478, 17, 6, 11, 4.04919
43479, 17, 6, 11, 4.05585
43480, 17, 6, 11, 4.04901
43481, 17, 5, 9, 4.05328
43482, 17, 5, 9, 4.0497
43483, 17, 6, 11, 4.05075
43484, 17, 6, 12, 4.05835
43485, 17, 6, 12, 4.0525
43486, 17, 5, 10, 4.05442
43487, 17, 4, 8, 4.0518
43488, 17, 5, 10, 4.05739
43489, 17, 5, 10, 4.05038
43490, 17, 4, 8, 4.05493
43491, 17, 4, 8, 4.05125
43492, 17, 5, 10, 4.05214
43493, 17, 6, 11, 4.05984
43494, 17, 6, 11, 4.05385
43495, 17, 5, 9, 4.05603
43496, 17, 4, 8, 4.05343
43497, 17, 5, 10, 4.04935
43498, 17, 5, 9, 4.05225
43499, 17, 6, 11, 4.0475
43500, 17, 5, 9, 4.0513
43501, 17, 4, 8, 4.05472
43502, 17, 5, 10, 4.04881
43503, 17, 6, 11, 4.05125
43504, 17, 5, 10, 4.05338
43505, 17, 6, 12, 4.05014
43506, 17, 5, 10, 4.05088
43507, 17, 5, 9, 4.05355
43508, 17, 6, 11, 4.04921
43509, 17, 6, 11, 4.05037
43510, 17, 5, 10, 4.05257
43511, 17, 6, 12, 4.04922
43512, 17, 5, 10, 4.05055
43513, 17, 5, 9, 4.05337
43514, 17, 6, 11, 4.04874
43515, 17, 5, 10, 4.0471
43516, 17, 6, 11, 4.05826
43517, 17, 5, 9, 4.05411
43518, 17, 5, 9, 4.04959
43519, 17, 5, 10, 4.04988
43520, 17, 6, 12, 4.05516
43521, 17, 5, 10, 4.05139
43522, 17, 6, 12, 4.06014
43523, 17, 5, 10, 4.05629
43524, 17, 5, 9, 4.0518
43525, 17, 6, 11, 4.05241
43526, 17, 5, 9, 4.04764
43527, 17, 4, 8, 4.05089
43528, 17, 4, 7, 4.05424
43529, 17, 5, 9, 4.04867
43530, 17, 5, 9, 4.05007
43531, 17, 4, 8, 4.05283
43532, 17, 5, 10, 4.04855
43533, 17, 5, 9, 4.04967
43534, 17, 4, 8, 4.05216
43535, 17, 5, 10, 4.04847
43536, 17, 4, 8, 4.05213
43537, 17, 4, 7, 4.05597
43538, 17, 5, 9, 4.04929
43539, 17, 5, 9, 4.05092
43540, 17, 4, 8, 4.05408
43541, 17, 5, 10, 4.0489
43542, 17, 5, 9, 4.05035
43543, 17, 4, 8, 4.05321
43544, 17, 5, 10, 4.0487
43545, 17, 4, 8, 4.05033
43546, 17, 4, 7, 4.05394
43547, 17, 5, 9, 4.04785
43548, 17, 4, 8, 4.05175
43549, 17, 4, 7, 4.05589
43550, 17, 5, 9, 4.04859
43551, 17, 5, 10, 4.05305
43552, 17, 4, 8, 4.05288
43553, 17, 5, 9, 4.04992
43554, 17, 6, 11, 4.05029
43555, 17, 6, 11, 4.05552
43556, 17, 5, 9, 4.05274
43557, 17, 4, 8, 4.0521
43558, 17, 5, 9, 4.05423
